pickup_hour,zone_id,trips,hour_of_week,mean,std,z
2024-01-01 03:00:00,162,61,3,5.25,1.8540496217739157,30.069313865860597
2024-01-01 00:00:00,239,236,0,13.125,7.473912964438374,29.820390076852856
2024-01-01 03:00:00,50,75,3,3.1666666666666665,2.4094720491334933,29.812893392627817
2024-01-01 00:00:00,90,149,0,23.5,4.272001872658765,29.377327946228775
2024-01-01 02:00:00,249,146,2,19.0,4.330127018922194,29.329393674832986
2024-01-01 00:00:00,263,223,0,14.75,7.292976072907411,28.554872238457687
2024-01-01 03:00:00,140,34,3,3.25,1.0897247358851685,28.218135266079095
2024-01-01 01:00:00,148,166,1,9.0,5.5677643628300215,28.19803241820366
2024-01-01 00:00:00,170,191,0,20.125,6.091746465505603,28.050248146008112
2024-01-01 04:00:00,50,55,4,3.25,1.8540496217739157,27.911874305978223
2024-01-01 01:00:00,142,247,1,13.285714285714286,8.497298490264601,27.50453994078864
2024-01-01 03:00:00,142,48,3,4.0,1.6035674514745464,27.438820836342234
2024-01-01 00:00:00,50,69,0,6.5,2.29128784747792,27.27723627949905
2024-01-01 01:00:00,249,169,1,28.625,5.170529469986609,27.14905713521899
2024-01-01 03:00:00,230,86,3,15.25,2.6339134382131846,26.861171279795723
2024-01-01 03:00:00,229,44,3,2.875,1.5360257159305635,26.773640293571145
2024-01-01 01:00:00,163,107,1,13.25,3.5619517121937516,26.31984023788487
2024-01-01 02:00:00,246,128,2,15.375,4.29934588047996,26.195845398562593
2024-01-01 00:00:00,236,164,0,9.25,5.973901572674261,25.90434377222674
2024-01-01 00:00:00,140,94,0,9.625,3.276335605520289,25.752856287932406
2024-01-01 03:00:00,161,75,3,6.5,2.692582403567252,25.440261330256106
2024-01-01 04:00:00,48,230,4,25.125,8.115378919064716,25.245278383576885
2024-01-10 02:00:00,138,55,50,5.0,2.0,25.0
2024-01-01 04:00:00,68,105,4,8.0,4.0,24.25
2024-01-01 02:00:00,158,47,2,2.7142857142857144,1.8294640678379568,24.20693309273394
2024-01-01 00:00:00,158,92,0,10.375,3.42554740151118,23.828308422762195
2024-01-01 04:00:00,137,54,4,5.0,2.1213203435596424,23.098821518760555
2024-01-01 00:00:00,231,95,0,8.25,3.766629793329841,23.031198912519027
2024-01-01 01:00:00,74,40,1,3.5714285714285716,1.5907898179514348,22.899676008413802
2024-01-01 02:00:00,151,49,2,2.5,2.0615528128088303,22.555813128378965
2024-01-01 00:00:00,246,118,0,22.375,4.270172713134681,22.393707801528915
2024-01-01 04:00:00,232,24,4,2.0,1.0,22.0
2024-01-01 00:00:00,229,163,0,15.0,6.782329983125268,21.821409510924777
2024-01-01 03:00:00,233,33,3,3.2857142857142856,1.3850513878332367,21.453561922182907
2024-01-01 00:00:00,107,177,0,18.0,7.466592261534039,21.294855059801115
2024-01-01 03:00:00,236,25,3,1.625,1.1110243021644486,21.039143747316647
2024-01-01 00:00:00,79,342,0,45.375,14.247258508218344,20.819794898007626
2024-01-01 00:00:00,148,175,0,19.875,7.473912964438374,20.755526688375994
2024-01-01 04:00:00,158,33,4,2.2857142857142856,1.4846149779161806,20.68838464596159
2024-01-01 01:00:00,75,48,1,3.6,2.1540659228538015,20.612182537652757
2024-01-01 04:00:00,246,103,4,9.75,4.602988159880492,20.258579157940105
2024-01-01 05:00:00,79,90,5,10.125,4.044672421840859,19.748200019532444
2024-01-09 08:00:00,226,52,32,4.875,2.4206145913796355,19.46819628693595
2024-01-01 00:00:00,238,130,0,8.5,6.244997998398398,19.455570687318087
2024-01-01 02:00:00,125,45,2,4.428571428571429,2.1285234893930487,19.060831968078286
2024-01-01 02:00:00,50,96,2,4.428571428571429,4.8064582403602065,19.051747459802336
2024-01-01 06:00:00,144,26,6,2.3333333333333335,1.247219128924647,18.975548175782134
2024-01-01 01:00:00,113,74,1,7.25,3.526683994916471,18.92712817372257
2024-01-01 00:00:00,262,71,0,4.285714285714286,3.614031611621005,18.45979584123291
2024-01-01 00:00:00,151,63,0,5.428571428571429,3.1558174334820746,18.242952827567482
